Date,Open,Close,High,Low,Volume
2018-01-02,12.443,12.793,13.023,12.413,2081592.0
2018-01-03,12.823,12.423,12.953,12.293,2962498.0
2018-01-04,12.413,12.343,12.463,12.223,1854509.0
2018-01-05,12.303,12.393,12.443,12.243,1210312.0
2018-01-08,12.343,12.053,12.383,11.953,2158620.0
2018-01-09,12.053,12.173,12.293,12.013,1344345.0
2018-01-10,12.133,12.563,12.583,12.013,2403277.0
2018-01-11,12.503,12.493,12.683,12.363,1443877.0
2018-01-12,12.543,12.643,12.773,12.503,1353991.0
2018-01-15,12.603,13.293,13.423,12.593,3122394.0
2018-01-16,13.263,13.293,13.473,13.113,2444549.0
2018-01-17,13.423,13.323,13.893,13.293,2656294.0
2018-01-18,13.493,13.813,13.813,13.373,2148026.0
2018-01-19,13.893,13.893,14.223,13.773,2571146.0
2018-01-22,13.693,13.533,14.033,13.523,2073867.0
2018-01-23,13.453,13.743,13.993,13.423,2388791.0
2018-01-24,13.753,13.733,14.173,13.593,2591292.0
2018-01-25,13.543,13.293,13.563,13.093,2369984.0
2018-01-26,13.273,13.143,13.433,13.113,2032988.0
2018-01-29,13.143,12.833,13.343,12.693,2090546.0
2018-01-30,12.793,12.743,12.933,12.643,1094739.0
2018-01-31,12.693,13.143,13.143,12.623,1747729.0
2018-02-01,13.043,13.123,13.393,12.933,2005614.0
2018-02-02,13.003,13.143,13.193,12.723,1176512.0
2018-02-05,12.893,13.643,13.663,12.823,2331997.0
2018-02-06,13.323,13.093,13.423,13.023,2582872.0
2018-02-07,13.313,12.013,13.393,11.853,3345716.0
2018-02-08,11.923,11.633,12.013,11.623,2137815.0
2018-02-09,11.173,10.783,11.173,10.473,2824949.0
2018-02-12,10.873,10.813,10.933,10.653,1228782.0
2018-02-13,10.963,11.033,11.303,10.933,1298178.0
2018-02-14,11.053,11.093,11.123,10.853,864190.0
2018-02-22,11.343,11.553,11.623,11.343,1268406.0
2018-02-23,11.673,11.703,11.883,11.543,1013663.0
2018-02-26,11.863,11.723,11.943,11.543,1045758.0
2018-02-27,11.733,11.373,11.793,11.283,1285869.0
2018-02-28,11.193,11.143,11.283,11.023,1214145.0
2018-03-01,11.013,11.133,11.243,10.993,886957.0
2018-03-02,11.013,11.043,11.133,10.943,663124.0
2018-03-05,11.023,10.953,11.173,10.893,754183.0
2018-03-06,11.043,11.193,11.203,10.863,1150162.0
2018-03-07,11.243,11.143,11.433,11.133,1427570.0
2018-03-08,11.143,11.203,11.243,11.043,689755.0
2018-03-09,11.243,11.183,11.293,11.073,943876.0
2018-03-12,11.243,11.123,11.263,11.043,1268701.0
2018-03-13,11.133,11.113,11.313,11.093,1082267.0
2018-03-14,11.073,11.013,11.093,10.923,635594.0
2018-03-15,10.883,10.803,10.943,10.753,1155694.0
2018-03-16,10.813,10.733,10.943,10.733,962983.0
2018-03-19,10.753,10.923,10.933,10.703,808538.0
2018-03-20,10.833,10.913,10.973,10.813,776150.0
2018-03-21,11.043,10.993,11.213,10.943,1445109.0
2018-03-22,10.993,10.753,11.063,10.713,984278.0
2018-03-23,10.343,10.433,10.443,10.013,1825690.0
2018-03-26,10.243,10.023,10.293,9.953,1383598.0
2018-03-27,10.193,10.033,10.263,9.953,1103933.0
2018-03-28,9.943,9.983,10.233,9.883,1099023.0
